cell,epoch,contrast_pct,spike_time_ms
c14,8,50,440.875
c15,8,10,478.250
c16,8,20,515.625
c17,8,30,553.000
c01,9,40,590.375
c02,9,50,627.750
c03,9,10,665.125
c04,9,20,702.500
c05,9,30,739.875
c06,9,40,777.250
c07,9,50,814.625
c08,9,10,852.000
c09,9,20,32.625
c10,9,30,70.000
c11,9,40,107.375
c12,9,50,144.750
c13,9,10,182.125
c14,9,20,219.500
c15,9,30,256.875
c16,9,40,294.250
c17,9,50,331.625
c01,10,10,369.000
c02,10,20,406.375
c03,10,30,443.750
c04,10,40,481.125
c05,10,50,518.500
c06,10,10,555.875
c07,10,20,593.250
c08,10,30,630.625
c09,10,40,668.000
c10,10,50,705.375
c11,10,10,742.750
c12,10,20,780.125
c13,10,30,817.500
c14,10,40,854.875
c15,10,50,35.500
c16,10,10,72.875
c17,10,20,110.250
c01,11,30,147.625
c02,11,40,185.000
c03,11,50,222.375
c04,11,10,259.750
c05,11,20,297.125
c06,11,30,334.500
c07,11,40,371.875
c08,11,50,409.250
c09,11,10,446.625
c10,11,20,484.000
c11,11,30,521.375
c12,11,40,558.750
c13,11,50,596.125
c14,11,10,633.500
c15,11,20,670.875
c16,11,30,708.250
c17,11,40,745.625
c01,12,50,783.000
c02,12,10,820.375
c03,12,20,857.750
c04,12,30,38.375
c05,12,40,75.750
c06,12,50,113.125
c07,12,10,150.500
c08,12,20,187.875
c09,12,30,225.250
c10,12,40,262.625
c11,12,50,300.000
c12,12,10,337.375
c13,12,20,374.750
c14,12,30,412.125
c15,12,40,449.500
c16,12,50,486.875
c17,12,10,524.250
c01,13,20,561.625
c02,13,30,599.000
c03,13,40,636.375
c04,13,50,673.750
c05,13,10,711.125
c06,13,20,748.500
c07,13,30,785.875
c08,13,40,823.250
c09,13,50,860.625
c10,13,10,41.250
c11,13,20,78.625
c12,13,30,116.000
c13,13,40,153.375
c14,13,50,190.750
c15,13,10,228.125
c16,13,20,265.500
c17,13,30,302.875
c01,14,40,340.250
c02,14,50,377.625
c03,14,10,415.000
c04,14,20,452.375
c05,14,30,489.750
c06,14,40,527.125
c07,14,50,564.500
c08,14,10,601.875
c09,14,20,639.250
c10,14,30,676.625
c11,14,40,714.000
c12,14,50,751.375
c13,14,10,788.750
c14,14,20,826.125
c15,14,30,863.500
c16,14,40,44.125
c17,14,50,81.500
c01,15,10,118.875
c02,15,20,156.250
c03,15,30,193.625
c04,15,40,231.000
c05,15,50,268.375
c06,15,10,305.750
c07,15,20,343.125
c08,15,30,380.500
c09,15,40,417.875
c10,15,50,455.250
c11,15,10,492.625
c12,15,20,530.000
c13,15,30,567.375
c14,15,40,604.750
c15,15,50,642.125
c16,15,10,679.500
c17,15,20,716.875
c01,16,30,754.250
c02,16,40,791.625
c03,16,50,829.000
c04,16,10,866.375
c05,16,20,47.000
c06,16,30,84.375
c07,16,40,121.750
c08,16,50,159.125
c09,16,10,196.500
c10,16,20,233.875
c11,16,30,271.250
c12,16,40,308.625
c13,16,50,346.000
c14,16,10,383.375
c15,16,20,420.750
c16,16,30,458.125
c17,16,40,495.500
c01,17,50,532.875
c02,17,10,570.250
c03,17,20,607.625
c04,17,30,645.000
c05,17,40,682.375
c06,17,50,719.750
c07,17,10,757.125
c08,17,20,794.500
c09,17,30,831.875
c10,17,40,869.250
c11,17,50,49.875
c12,17,10,87.250
c13,17,20,124.625
c14,17,30,162.000
c15,17,40,199.375
c16,17,50,236.750
c17,17,10,274.125
c01,18,20,311.500
c02,18,30,348.875
c03,18,40,386.250
c04,18,50,423.625
c05,18,10,461.000
c06,18,20,498.375
c07,18,30,535.750
c08,18,40,573.125
c09,18,50,610.500
c10,18,10,647.875
c11,18,20,685.250
c12,18,30,722.625
c13,18,40,760.000
c14,18,50,797.375
c15,18,10,834.750
c16,18,20,872.125
c17,18,30,52.750
c01,19,40,90.125
c02,19,50,127.500
c03,19,10,164.875
c04,19,20,202.250
c05,19,30,239.625
c06,19,40,277.000
c07,19,50,314.375
c08,19,10,351.750
c09,19,20,389.125
c10,19,30,426.500
c11,19,40,463.875
c12,19,50,501.250
c13,19,10,538.625
c14,19,20,576.000
c15,19,30,613.375
c16,19,40,650.750
c17,19,50,688.125
