strain,b,s,temp,pH,growth
B,0.775144,0.938747,42.542486,5.575131,0.016818
B,1.562150,0.148297,23.444185,8.158136,0.014111
B,0.449156,2.307847,29.345885,6.741142,0.159374
B,1.236162,1.517397,35.247584,5.324147,0.088526
B,0.123167,0.726947,41.149284,7.907152,0.008886
B,0.910173,2.886496,22.050983,6.490157,0.030385
B,1.697179,2.096046,27.952683,5.073163,0.039913
B,0.584185,1.305596,33.854382,7.656168,0.208398
B,1.371190,0.515146,39.756081,6.239173,0.147826
B,0.258196,2.674696,20.657781,8.822178,0.000560
B,1.045202,1.884246,26.559480,7.405184,0.182922
B,1.832208,1.093796,32.461180,5.988189,0.408207
B,0.719213,0.303346,38.362879,8.571194,0.023226
B,1.506219,2.462896,44.264579,7.154199,0.077867
B,0.393225,1.672445,25.166278,5.737205,0.016966
B,1.180231,0.881995,31.067977,8.320210,0.140291
B,1.967237,0.091545,36.969677,6.903215,0.176025
B,0.854242,2.251095,42.871376,5.486220,0.016951
B,1.641248,1.460645,23.773076,8.069226,0.055784
B,0.528254,0.670195,29.674775,6.652231,0.140521
B,1.315260,2.829745,35.576475,5.235236,0.082168
B,0.202265,2.039295,41.478174,7.818241,0.018704
B,0.989271,1.248844,22.379874,6.401246,0.030898
B,1.776277,0.458394,28.281573,8.984252,0.024585
B,0.663283,2.617944,34.183272,7.567257,0.285932
B,1.450288,1.827494,40.084972,6.150262,0.193335
B,0.337294,1.037044,20.986671,8.733267,0.000881
B,1.124300,0.246594,26.888371,7.316273,0.103297
B,1.911306,2.406144,32.790070,5.899278,0.448802
B,0.798311,1.615694,38.691770,8.482283,0.053661
B,1.585317,0.825244,44.593469,7.065288,0.055770
B,0.472323,2.984793,25.495168,5.648294,0.021034
B,1.259329,2.194343,31.396868,8.231299,0.220685
B,0.146335,1.403893,37.298567,6.814304,0.051466
B,0.933340,0.613443,43.200267,5.397309,0.009577
B,1.720346,2.772993,24.101966,7.980315,0.083388
W3110,0.887006,2.209550,25.901699,7.583005,0.016450
W3110,1.674012,1.419100,31.803399,6.166010,0.312784
W3110,0.561017,0.628650,37.705098,8.749016,0.058138
W3110,1.348023,2.788200,43.606798,7.332021,1.213181
W3110,0.235029,1.997749,24.508497,5.915026,0.001074
W3110,1.022035,1.207299,30.410197,8.498031,0.039342
W3110,1.809040,0.416849,36.311896,7.081037,1.015414
W3110,0.696046,2.576399,42.213595,5.664042,0.239522
W3110,1.483052,1.785949,23.115295,8.247047,0.002080
W3110,0.370058,0.995499,29.016994,6.830052,0.033909
W3110,1.157063,0.205049,34.918694,5.413058,0.063669
W3110,1.944069,2.364599,40.820393,7.996063,1.226253
W3110,0.831075,1.574148,21.722093,6.579068,0.001073
W3110,1.618081,0.783698,27.623792,5.162073,0.007653
W3110,0.505087,2.943248,33.525492,7.745079,0.193944
W3110,1.292092,2.152798,39.427191,6.328084,1.159331
W3110,0.179098,1.362348,20.328890,8.911089,0.000008
W3110,0.966104,0.571898,26.230590,7.494094,0.015866
W3110,1.753110,2.731448,32.132289,6.077100,0.364084
W3110,0.640115,1.940998,38.033989,8.660105,0.113435
W3110,1.427121,1.150548,43.935688,7.243110,1.075155
W3110,0.314127,0.360097,24.837388,5.826115,0.000859
W3110,1.101133,2.519647,30.739087,8.409121,0.065469
W3110,1.888138,1.729197,36.640786,6.992126,1.772888
W3110,0.775144,0.938747,42.542486,5.575131,0.177490
W3110,1.562150,0.148297,23.444185,8.158136,0.001048
W3110,0.449156,2.307847,29.345885,6.741142,0.055265
W3110,1.236162,1.517397,35.247584,5.324147,0.139033
W3110,0.123167,0.726947,41.149284,7.907152,0.064624
W3110,0.910173,2.886496,22.050983,6.490157,0.001547
W3110,1.697179,2.096046,27.952683,5.073163,0.009492
W3110,0.584185,1.305596,33.854382,7.656168,0.229387
W3110,1.371190,0.515146,39.756081,6.239173,0.756569
W3110,0.258196,2.674696,20.657781,8.822178,0.000020
W3110,1.045202,1.884246,26.559480,7.405184,0.030021
W3110,1.832208,1.093796,32.461180,5.988189,0.314789
W3110,0.719213,0.303346,38.362879,8.571194,0.081985
W3110,1.506219,2.462896,44.264579,7.154199,1.273017
W3110,0.393225,1.672445,25.166278,5.737205,0.001960
W3110,1.180231,0.881995,31.067977,8.320210,0.074874
W3110,1.967237,0.091545,36.969677,6.903215,0.441958
W3110,0.854242,2.251095,42.871376,5.486220,0.193718
W3110,1.641248,1.460645,23.773076,8.069226,0.004476
W3110,0.528254,0.670195,29.674775,6.652231,0.052438
W3110,1.315260,2.829745,35.576475,5.235236,0.141770
W3110,0.202265,2.039295,41.478174,7.818241,0.148921
W3110,0.989271,1.248844,22.379874,6.401246,0.001714
W3110,1.776277,0.458394,28.281573,8.984252,0.006336
W3110,0.663283,2.617944,34.183272,7.567257,0.339956
W3110,1.450288,1.827494,40.084972,6.150262,1.068404
W3110,0.337294,1.037044,20.986671,8.733267,0.000035
W3110,1.124300,0.246594,26.888371,7.316273,0.018579
W3110,1.911306,2.406144,32.790070,5.899278,0.377504
W3110,0.798311,1.615694,38.691770,8.482283,0.205943
W3110,1.585317,0.825244,44.593469,7.065288,1.012406
W3110,0.472323,2.984793,25.495168,5.648294,0.002656
W3110,1.259329,2.194343,31.396868,8.231299,0.129016
W3110,0.146335,1.403893,37.298567,6.814304,0.139802
W3110,0.933340,0.613443,43.200267,5.397309,0.120877
W3110,1.720346,2.772993,24.101966,7.980315,0.007277
