t,x,v,a
5.512986,-0.815538,-2.270963,3.167783
9.655121,-1.887335,-0.854555,9.047758
3.797257,1.040868,0.561853,-3.488531
7.939392,-0.030929,1.978261,-0.602311
2.081528,-1.102725,-2.605331,4.464070
6.223664,1.825478,-1.188924,-7.799551
0.365799,0.753681,0.227484,-2.237673
4.507935,-0.318116,1.643892,0.250284
8.650071,-1.389913,-2.939700,6.130681
2.792206,1.538291,-1.523292,-5.488946
6.934342,0.466494,-0.106884,-1.204040
1.076477,-0.605303,1.309524,1.203977
5.218613,-1.677100,2.725931,6.084755
9.360749,1.251104,-1.857661,-3.645663
3.502884,0.179307,-0.441253,-0.286037
7.645020,-0.892490,0.975155,2.304015
1.787156,-1.964287,2.391563,8.621812
5.929291,0.963917,-2.192029,-2.187352
0.071427,-0.107880,-0.775621,0.542157
4.213562,-1.179677,0.640786,3.725427
8.355698,1.748526,2.057194,-8.301018
2.497834,0.676729,-2.526398,-0.991047
6.639969,-0.395067,-1.109990,1.405821
0.782105,-1.466864,0.306418,5.455538
4.924240,1.461339,1.722826,-6.110914
9.066376,0.389542,-2.860766,-0.011624
3.208512,-0.682254,-1.444358,2.409846
7.350647,-1.754051,-0.027951,7.612968
1.492783,1.174152,1.388457,-4.394159
5.634919,0.102355,2.804865,-1.229405
9.777054,-0.969441,-1.778727,3.602550
3.919190,1.958762,-0.362319,-9.285380
8.061325,0.886965,1.054089,-2.991993
2.203461,-0.184832,2.470497,-0.393151
6.345597,-1.256629,-2.113096,5.061934
0.487732,1.671575,-0.696688,-6.736494
4.629868,0.599778,0.719720,-1.866555
8.772004,-0.472019,2.136128,0.515302
2.914139,-1.543816,-2.447464,6.923090
7.056275,1.384388,-1.031056,-4.688316
1.198410,0.312591,0.385352,-0.934602
5.340546,-0.759206,1.801760,1.528525
9.482682,-1.831003,-2.781833,9.225543
3.624817,1.097201,-1.365425,-3.066120
7.766953,0.025404,0.050983,-0.089429
1.909089,-1.046393,1.467391,2.806823
6.051224,1.881810,2.883799,-9.721311
0.193360,0.810013,-1.699793,-1.730373
4.335495,-0.261783,-0.283385,0.757764
8.477631,-1.333580,1.133022,4.371185
2.619767,1.594623,2.549430,-7.295077
6.761902,0.522826,-2.034162,-0.680082
0.904038,-0.548970,-0.617754,1.685793
5.046174,-1.620767,0.798654,6.329585
9.188309,1.307436,2.215062,-5.404061
3.330445,0.235639,-2.368530,0.226596
7.472580,-0.836157,-0.952122,2.789460
1.614716,-1.907954,0.464285,8.790396
5.756852,1.020249,1.880693,-3.842928
9.898987,-0.051548,-2.702899,1.058231
4.041123,-1.123345,-1.286491,4.092329
8.183259,1.804859,0.129917,-8.077514
2.325394,0.733062,1.546325,-2.610135
6.467530,-0.338735,2.962733,-0.153777
0.609665,-1.410532,-1.620860,5.795031
4.751801,1.517672,-0.204452,-5.840029
8.893937,0.445875,1.211956,-1.607315
3.036072,-0.625922,2.628364,0.774900
7.178208,-1.697719,-1.955228,7.847885
1.320344,1.230485,-0.538820,-4.010760
